slug,md_path,found,proposed
contact,content/contact/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
remix-nanni-hannibal-invasion,content/post/remix-nanni-hannibal-invasion/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
asus-eeepc-1201ha,content/post/asus-eeepc-1201ha/index.md,3,"/images/resource?id=a9ccd316-c4c8-4200-bfc6-9e4793e6ae84-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
set-april-2010,content/post/set-april-2010/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
javascript-date-handling-format,content/post/javascript-date-handling-format/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
check-metamodel-existence-dynamic-data-application,content/post/check-metamodel-existence-dynamic-data-application/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
js-notification-panel-gmail,content/post/js-notification-panel-gmail/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
personal-branding-introduction,content/post/personal-branding-introduction/index.md,3,"/images/resource?id=73deb6aa-04af-4eef-9451-38eceeb59d39-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
meal-prep-pouches-quick-easy,content/post/meal-prep-pouches-quick-easy/index.md,3,"/images/resource?id=8f00cdb9-af64-4013-8d6a-8ceba633ddac-2.jpg, /images/resource?id=d2b396d2-fe28-4d7a-b35a-4267de1ff83b-2.jpg, /images/resource?id=d39084a3-1ab1-4174-adab-ecdfabe2a46e-2.jpg"
issues-ajax-custom-httpmodule,content/post/issues-ajax-custom-httpmodule/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
consuming-net-web-services-using-php-nusoap,content/post/consuming-net-web-services-using-php-nusoap/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
table-size-space-sql-server,content/post/table-size-space-sql-server/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
transform-sentence-slug-js,content/post/transform-sentence-slug-js/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
robo-advisor-digital-portfolio-investing,content/post/robo-advisor-digital-portfolio-investing/index.md,3,"/images/resource?id=02bd0078-9f37-47d2-af8d-16998080b639-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
remix-francois-le-roy-mosquito,content/post/remix-francois-le-roy-mosquito/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
post-data-js,content/post/post-data-js/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
